SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
"Dayton-Wright Patterson AAF, OHFFO)",United States of America,"(37.09024, -95.712891)",United States,"(39.8137298, -84.05374479999999)","Wright-Patterson AFB, OH, USA",7908
Ledo,India,"(20.593684, 78.96288)",India,"(38.914337, -77.066874)","1721 Wisconsin Ave NW, Washington, DC 20007, USA",7909
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7910
Tabingaung,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7911
near Schwebo,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(22.5786554, 95.69839789999999)","Shwebo, Myanmar (Burma)",7912
unknown,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7913
at an unknown location,India,"(20.593684, 78.96288)",India,"(20.593684, 78.96288)",India,7914
at an unknown location,India,"(20.593684, 78.96288)",India,"(20.593684, 78.96288)",India,7915
at an unknown location,India,"(20.593684, 78.96288)",India,"(20.593684, 78.96288)",India,7916
"Midland AAF, TXMAF/KMAF)",United States of America,"(37.09024, -95.712891)",United States,"(31.9417386, -102.2047497)","Midland International Air & Space Port (MAF), 9506 La Force Blvd, Midland, TX 79706, USA",7917
Paochan,China,"(35.86166, 104.195397)",China,"(15.819011, 102.677826)","Moo 2, Tambon Sok Nok Ten, Amphoe Phon, Khon Kaen, 40120, ตำบล โสกนกเต็น อำเภอ พล ขอนแก่น 40120, Thailand",7918
Kingston Bagpuize RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.7613476, -1.5842109)","Carterton OX18 3LX, UK",7919
Lawrenceville George ,United States of America,"(37.09024, -95.712891)",United States,"(33.9562149, -83.9879625)","Lawrenceville, GA, USA",7920
Brussels/Evere Advanced Landing Ground B 56,Belgium,"(50.503887, 4.469936)",Belgium,"(50.503887, 4.469936)",Belgium,7921
Prnjavor,Bosnia and Herzegovina,"(43.915886, 17.679076)",Bosnia and Herzegovina,"(44.8678652, 17.6618242)","Prnjavor, Bosnia and Herzegovina",7922
"near Sileby, Leicestershire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.729949, -1.110268)","Sileby, UK",7923
Laoshan,China,"(35.86166, 104.195397)",China,"(36.107538, 120.468956)","Laoshan, Qingdao, Shandong, China",7924
at an unknown location,Philippines,"(12.879721, 121.774017)",Philippines,"(12.879721, 121.774017)",Philippines,7925
near Mount Tali,China,"(35.86166, 104.195397)",China,"(35.4445273, -78.4366204)","Tali Ln, Four Oaks, NC 27524, USA",7926
"near Burbank-Hollywood, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.0928092, -118.3286614)","Hollywood, Los Angeles, CA, USA",7927
Biak,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-1.0381022, 135.9800848)","Biak, Papua, Indonesia",7928
Torokina,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-28.3453728, 153.4065762)","Torokina, 474 Tweed Valley Way, South Murwillumbah NSW 2484, Australia",7929
Yunnanyi,China,"(35.86166, 104.195397)",China,"(25.387923, 100.686412)","Yunnanyizhen, Xiangyun, Dali, Yunnan, China",7930
Snetterton Heath,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.8144991, -2.2650677)","Snetterton Heath, Quedgeley, Gloucester GL2, UK",7931
Dexter,United States of America,"(37.09024, -95.712891)",United States,"(36.7958866, -89.9578688)","Dexter, MO 63841, USA",7932
Rome AAB,United States of America,"(37.09024, -95.712891)",United States,"(41.9040348, 12.4824179)","Via della Vite, 102, 00187 Roma, Italy",7933
Saint Joseph Rosecrans ,United States of America,"(37.09024, -95.712891)",United States,"(39.7703528, -94.9032295)","Rosecrans Memorial Airport, 100B NW Rosecrans Rd, St Joseph, MO 64503, USA",7934
Lashio,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(22.9917063, 97.9592863)","Lashio, Myanmar (Burma)",7935
Port of Spain,Trinidad and Tobago,"(10.691803, -61.222503)",Trinidad and Tobago,"(10.6549013, -61.50192559999999)","Port of Spain, Trinidad and Tobago",7936
Siakwan,China,"(35.86166, 104.195397)",China,"(35.86166, 104.195397)",China,7937
near Lang Tai,China,"(35.86166, 104.195397)",China,"(13.754875, 100.4799065)","Wang Lang 15, Khwaeng Ban Chang Lo, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700, Thailand",7938
Tingkank An,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7939
Tali,China,"(35.86166, 104.195397)",China,"(58.066591, 24.7737629)","Tali, 86101 Pärnu County, Estonia",7940
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7941
at an unknown location,India,"(20.593684, 78.96288)",India,"(20.593684, 78.96288)",India,7942
near Myitkyina,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(25.3946143, 97.38407289999999)","Myitkyina, Myanmar (Burma)",7943
near Imphal,India,"(20.593684, 78.96288)",India,"(24.8170111, 93.9368439)","Imphal, Manipur, India",7944
Carson City,United States of America,"(37.09024, -95.712891)",United States,"(39.1637984, -119.7674034)","Carson City, NV, USA",7945
Jorhat,India,"(20.593684, 78.96288)",India,"(26.7465203, 94.2025859)","Jorhat, Assam, India",7946
Saint-DizierA-64) Airfield,France,"(46.227638, 2.213749)",France,"(48.634998, 4.899722)","52113 Saint-Dizier, France",7947
"Lubbock-South Plains AAF, TXLBB)",United States of America,"(37.09024, -95.712891)",United States,"(33.657266, -101.8264629)","Lubbock Preston Smith International Airport (LBB), 5401 N Martin L King Blvd, Lubbock, TX 79403, USA",7948
within Sagaing Region,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(24.428381, 95.3939551)","Sagaing Region, Myanmar (Burma)",7949
at an unknown location,China,"(35.86166, 104.195397)",China,"(35.86166, 104.195397)",China,7950
Yunnanyi,China,"(35.86166, 104.195397)",China,"(25.387923, 100.686412)","Yunnanyizhen, Xiangyun, Dali, Yunnan, China",7951
Ziadum,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(21.916221, 95.955974)",Myanmar (Burma),7952
Patkai Mountains,China,"(35.86166, 104.195397)",China,"(27.0, 96.00000000000001)","Patkai, Myanmar (Burma)",7953
Unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA",7954
Whidbey Island-NAS,United States of America,"(37.09024, -95.712891)",United States,"(48.3431564, -122.6810454)","3675 W Lexington Street, Bldg 2566, Oak Harbor, WA 98278, United States",7955
near Bourne,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(41.74127730000001, -70.5989325)","Bourne, MA, USA",7956
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7957
Sumner,United States of America,"(37.09024, -95.712891)",United States,"(47.2031566, -122.2403966)","Sumner, WA, USA",7958
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7959
Toulon-sur-Montagne,France,"(46.227638, 2.213749)",France,"(48.8559399, 3.881446)","Toulon la Montagne, 51130 Vert-Toulon, France",7960
Aldermaston US Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.40196, -1.1374)","Aldermaston, Reading RG7 4JH, UK",7961
"Terceira-Lajes AFB, AzoresLFB)",Portugal,"(39.39987199999999, -8.224454)",Portugal,"(38.75388, -27.0869431)","Lajes Airport, Aerogare Civil das Lajes, 9760-251 Lajes, Praia da Vitória, Portugal",7962
8 km5 mls) S off  Chorrillos,Peru,"(-9.189967, -75.015152)",Peru,"(-12.1940288, -77.0202552)","Calle 8, Distrito de Lima, Peru",7963
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7964
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7965
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7966
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7967
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7968
Sahmaw,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(25.2270153, 96.79357449999999)","Sahmaw, Myanmar (Burma)",7969
Brussels/Evere Advanced Landing Ground B 56,Belgium,"(50.503887, 4.469936)",Belgium,"(50.503887, 4.469936)",Belgium,7970
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7971
Brussels/Evere Advanced Landing Ground B 56,Belgium,"(50.503887, 4.469936)",Belgium,"(50.503887, 4.469936)",Belgium,7972
Brussels/Evere Advanced Landing Ground B 56,Belgium,"(50.503887, 4.469936)",Belgium,"(50.503887, 4.469936)",Belgium,7973
Brussels/Evere Advanced Landing Ground B 56,Belgium,"(50.503887, 4.469936)",Belgium,"(50.503887, 4.469936)",Belgium,7974
 Anadyr,Russia,"(61.52401, 105.318756)",Russia,"(64.7336613, 177.4968266)","Anadyr, Chukotka Autonomous Okrug, Russia, 689000",7975
Seoul-GimpoKimpo) Air Base,South Korea,"(35.907757, 127.766922)",South Korea,"(37.5586545, 126.7944739)","Gimpo International Airport (GMP), 112 Haneul-gil, Gangseo-gu, Seoul, South Korea",7976
"near Hobard Mills, CA",United States of America,"(37.09024, -95.712891)",United States,"(39.4004621, -120.183811)","Hobart Mills, CA 96161, USA",7977
Nanjing,China,"(35.86166, 104.195397)",China,"(32.060255, 118.796877)","Nanjing, Jiangsu, China",7978
-Kallang RAF Station,Singapore,"(1.352083, 103.819836)",Singapore,"(53.1726116, -0.5305863)","Royal Air Force Station Waddington, Waddington, Lincoln LN5 9NB, UK",7979
Yangon-Mingaladon AirportRGN),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(16.8985506, 96.13246819999999)","Yangon International Airport, Yangon Airport Rd, Yangon, Myanmar (Burma)",7980
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",7981
Radcliffe-on-Trent,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.94341, -1.034344)","Radcliffe on Trent, Nottingham NG12, UK",7982
 Biak to Peleliu,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,7983
Brussels/Evere Advanced Landing Ground B 56,Belgium,"(50.503887, 4.469936)",Belgium,"(50.503887, 4.469936)",Belgium,7984
 Newport Beach,United States of America,"(37.09024, -95.712891)",United States,"(33.6188829, -117.9298493)","Newport Beach, CA, USA",7985
Rod-el-Farag,Egypt,"(26.820553, 30.802498)",Egypt,"(30.07202509999999, 31.2368819)","Rawd Al Farag, Cairo Governorate, Egypt",7986
"Derwent River estuary, TAS",Australia,"(-25.274398, 133.775136)",Australia,"(-42.1334114, 146.2212972)","River Derwent, Tasmania, Australia",7987
Bakovka,Russia,"(61.52401, 105.318756)",Russia,"(55.682816, 37.315205)","Bakovka, Mamonovo, Moskovskaya oblast', Russia, 143005",7988
"Newark, NJEWR)",United States of America,"(37.09024, -95.712891)",United States,"(40.6895314, -74.1744624)","Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",7989
"Newark International Airport, NJEWR)",United States of America,"(37.09024, -95.712891)",United States,"(40.6895314, -74.1744624)","Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",7990
Jakarta-Kemayoran AirportJKT),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.1275118, 106.6536859)","Soekarno-Hatta International Airport (CGK), Jakarta, Kec. Tangerang, Kota Tangerang, Banten 19120, Indonesia",7991
Basra,Iraq,"(33.223191, 43.679291)",Iraq,"(30.5081033, 47.7834888)","Basrah, Iraq",7992
near Prague,Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(50.0755381, 14.4378005)","Prague, Czechia",7993
Poole Harbour,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.6906684, -1.9665596)","Poole Harbour, United Kingdom",7994
Poole Harbour,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.6906684, -1.9665596)","Poole Harbour, United Kingdom",7995
"Jinan, Shandong",China,"(35.86166, 104.195397)",China,"(36.6512, 117.120095)","Jinan, Shandong, China",7996
"Thing Mountain, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.8400248, -116.4394502)","Laguna Mountains, California 91962, USA",7997
Anzio,Italy,"(41.87194, 12.56738)",Italy,"(41.4495955, 12.6197253)","00042 Anzio, Metropolitan City of Rome, Italy",7998
Medellin,Colombia,"(4.570868, -74.297333)",Colombia,"(6.244203, -75.5812119)","Medellin, Antioquia, Colombia",7999
"Newark, NJ",United States of America,"(37.09024, -95.712891)",United States,"(40.735657, -74.1723667)","Newark, NJ, USA",8000
"Laverton Airport, WALVO)",Australia,"(-25.274398, 133.775136)",Australia,"(-37.814646, 144.794989)","121-123 Boundary Rd, Laverton North VIC 3026, Australia",8001
Tacloban AirportTAC),Philippines,"(12.879721, 121.774017)",Philippines,"(11.2267334, 125.0261242)","DANIEL Z. ROMUALDEZ AIRPORT (TAC), Airport Road,Tacloban City 6500,Leyte, Philippines",8002
Mélisey,France,"(46.227638, 2.213749)",France,"(47.753853, 6.580902999999999)","70270 Mélisey, France",8003
Yangon-Mingaladon Airport,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(16.8985506, 96.13246819999999)","Yangon International Airport, Yangon Airport Rd, Yangon, Myanmar (Burma)",8004
"Newark International Airport, NJEWR)",United States of America,"(37.09024, -95.712891)",United States,"(40.6895314, -74.1744624)","Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",8005
Bandung AirportBDO),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.9039576, 107.5801608)","Bandara Husein Sastranegara, Jl. Pajajaran No.156, Husen Sastranegara, Cicendo, Kota Bandung, Jawa Barat 40174, Indonesia",8006
"Charlottetown, PEYYG)",Canada,"(56.130366, -106.346771)",Canada,"(46.28581670000001, -63.1312058)","Charlottetown Airport, 250 Maple Hills Ave, Charlottetown, PE C1C 1N2, Canada",8007
Minsk-1 AirportMHP),Russia,"(61.52401, 105.318756)",Russia,"(53.8711654, 27.5352733)","Airport Minsk-1, Vulitsa Chkalava 38/1, Minsk 220039, Belarus",8008
Wig Bay,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.9466, -5.07066)","Loch Ryan, Stranraer DG9 0PS, United Kingdom",8009
Sanborn,United States of America,"(37.09024, -95.712891)",United States,"(43.1816421, -95.6555674)","Sanborn, IA 51248, USA",8010
Calcutta,India,"(20.593684, 78.96288)",India,"(22.572646, 88.36389500000001)","Kolkata, West Bengal, India",8011
Orlando,United States of America,"(37.09024, -95.712891)",United States,"(28.5383355, -81.3792365)","Orlando, FL, USA",8012
Lae,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-6.7155252, 146.999905)","Lae, Papua New Guinea",8013
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",8014
Lee-on-Solent ,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.8020939, -1.202352)","Lee-on-the-Solent, UK",8015
Warlingham,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3093239, -0.055901)","Warlingham, UK",8016
Victoria Point Airfield,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(44.8345346, -93.656801)","Field Drive, Victoria, MN 55386, USA",8017
Victoria Point,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(53.46026879999999, -2.2172305)","Victoria Point, 6 Hathersage Rd, Manchester M13 0FT, UK",8018
near Barquisimeto,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.0677719, -69.3473509)","Barquisimeto 3001, Lara, Venezuela",8019
near Saigon,Vietnam,"(14.058324, 108.277199)",Vietnam,"(10.8230989, 106.6296638)","Ho Chi Minh City, Ho Chi Minh, Vietnam",8020
 Dumog,Philippines,"(12.879721, 121.774017)",Philippines,"(12.879721, 121.774017)",Philippines,8021
near Huerta,Spain,"(40.46366700000001, -3.74922)",Spain,"(40.9683841, -5.4677769)","37336 Huerta, Salamanca, Spain",8022
Dhorro Naro,India,"(20.593684, 78.96288)",India,"(25.5018294, 69.5633725)","Dhoronāro Railway Station, Dhoronāro, Pakistan",8023
Darvaza ,Turkmenistan,"(38.969719, 59.556278)",Turkmenistan,"(40.180991, 58.41162909999999)","Darvaza, Turkmenistan",8024
Negros Island,Philippines,"(12.879721, 121.774017)",Philippines,"(9.7150631, 122.8986812)","Negros, Philippines",8025
Ilhéus Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-14.8140511, -39.0317095)","Ilhéus Airport - Jorge Amado - R. Brg. Eduardo Gomes, S/N - Pontal, Ilhéus - BA, 45654-370, Brazil",8026
Menorca-Mahón AirportMAH),Spain,"(40.46366700000001, -3.74922)",Spain,"(39.8646069, 4.2256691)","Menorca Airport, Carretera de Sant Climent, s/n, 07712 Maó, Illes Balears, Spain",8027
at an unknown location,China,"(35.86166, 104.195397)",China,"(35.86166, 104.195397)",China,8028
near Carlisle,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(40.2010241, -77.20027449999999)","Carlisle, PA 17013, USA",8029
Aix-en-Provence,France,"(46.227638, 2.213749)",France,"(43.529742, 5.447426999999999)","Aix-en-Provence, France",8030
Aurora-Lowry AFB,United States of America,"(37.09024, -95.712891)",United States,"(39.7040997, -104.7536301)","18500 E 6th Ave, Aurora, CO 80011, USA",8031
Pegu,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(17.3220711, 96.4663286)","Bago, Myanmar (Burma)",8032
"Solntsevo District, Moscow",Russia,"(61.52401, 105.318756)",Russia,"(55.6469198, 37.3928081)","Solntsevo District, Moscow, Russia",8033
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",8034
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",8035
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",8036
Lipa-Fernando Air Base,Philippines,"(12.879721, 121.774017)",Philippines,"(13.950144, 121.127433)","Lipa, Batangas, Philippines",8037
"Elk Mountain, WY",United States of America,"(37.09024, -95.712891)",United States,"(41.6893961, -106.4140868)","Elk Mountain, WY 82324, USA",8038
Semarang AirportSRG),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.9748369, 110.3775829)","Bandara Ahmad Yani Semarang Indonesia, Jalan Puad Ahmad Yani, Tambakharjo, Semarang Bar., Kota Semarang, Jawa Tengah 50145, Indonesia",8039
København-Kastrup AirportCPH),Denmark,"(56.26392, 9.501785)",Denmark,"(55.6180236, 12.6507628)","Copenhagen Airport (CPH), Lufthavnsboulevarden 6, 2770 Kastrup, Denmark",8040
