SubLocation,Country,latlon,place,sub_latlon,sub_place
"Charleston-Kanawha County Airport, WVCRW)",United States of America,"(37.09024, -95.712891)",United States,,
"near Whidbey Island-NAS, WANUW)",United States of America,"(37.09024, -95.712891)",United States,,
near Cuzco-Velazco Astete AirportCUZ),Peru,"(-9.189967, -75.015152)",Peru,,
"Mallorca, Alfabia Peak",Spain,"(40.46366700000001, -3.74922)",Spain,,
"Mallorca, Alfabia Peak",Spain,"(40.46366700000001, -3.74922)",Spain,,
at an unknown location,Russia,"(61.52401, 105.318756)",Russia,,
Arctic Ocean,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
Poitiers-Biard AirportPIS),France,"(46.227638, 2.213749)",France,,
Sierra de Valdemeca,Spain,"(40.46366700000001, -3.74922)",Spain,,
near Kerman,Iran,"(32.427908, 53.688046)",Iran,,
"Key West International Airport, FLEYW)",United States of America,"(37.09024, -95.712891)",United States,"(24.5556474, -81.7583293)","Key West International Airport, 3491 S Roosevelt Blvd, Key West, FL 33040, USA"
Novosibirsk Region,Russia,"(61.52401, 105.318756)",Russia,,
Mount Süphan,Turkey,"(38.963745, 35.243322)",Turkey,,
Ankara-Etimesgut AirportANK),Turkey,"(38.963745, 35.243322)",Turkey,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"near China Lake, CA",United States of America,"(37.09024, -95.712891)",United States,,
Rio TejoTagus River),Portugal,"(39.39987199999999, -8.224454)",Portugal,,
Hyères,France,"(46.227638, 2.213749)",France,,
Santiago AirportSCU),Cuba,"(21.521757, -77.781167)",Cuba,,
"Juneau International Airport, AKJNU)",United States of America,"(37.09024, -95.712891)",United States,,
"0,8 km0.5 mls) W off  Aden-Khormaksar RAF Station",Yemen,"(15.552727, 48.516388)",Yemen,,
48 km30 mls) W Aden-Khormaksar RAF Station,Yemen,"(15.552727, 48.516388)",Yemen,,
"8 km5 mls) from  Orting, WA",United States of America,"(37.09024, -95.712891)",United States,,
"Argentia-NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
near Napoli-Capodichino AirportNAP),Italy,"(41.87194, 12.56738)",Italy,,
near Port-au-Prince,Haiti,"(18.971187, -72.285215)",Haiti,,
Adana-Incirlik Air BaseADA),Turkey,"(38.963745, 35.243322)",Turkey,,
"12 km7.5 mls) off  Mackay, QLD",Australia,"(-25.274398, 133.775136)",Australia,,
near Tkvarcheli,Georgia,"(32.1656221, -82.9000751)","Georgia, USA",,
Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras"
30 km18.8 mls) NE of Sofia-Vrazhdebna AirportSOF),Bulgaria,"(42.733883, 25.48583)",Bulgaria,,
"3,5 km2.2 mls) S of -Luqa AirportMLA)",Malta,"(35.937496, 14.375416)",Malta,,
Saigon-Tan Son Nhut AirportSGN),Vietnam,"(14.058324, 108.277199)",Vietnam,,
"5,6 km3.5 mls) N of Niles, CA",United States of America,"(37.09024, -95.712891)",United States,,
"near Owensboro, KY",United States of America,"(37.09024, -95.712891)",United States,,
Najran,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,,
"2,4 km1.5 mls) off  Frobisher Bay Airport, NUYFB)",Canada,"(56.130366, -106.346771)",Canada,,
"Toronto, ON",Canada,"(56.130366, -106.346771)",Canada,,
"40 km25 mls) NW of Fort Chimo, QC",Canada,"(56.130366, -106.346771)",Canada,,
Little America V,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
"Cheyenne Airport, WYCYS)",United States of America,"(37.09024, -95.712891)",United States,,
Northern ,Venezuela,"(6.42375, -66.58973)",Venezuela,,
"off Fort Lauderdale, FL",United States of America,"(37.09024, -95.712891)",United States,,
"off Fort Lauderdale, FL",United States of America,"(37.09024, -95.712891)",United States,,
Edward VII Peninsula,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
near Zaragoza,Spain,"(40.46366700000001, -3.74922)",Spain,,
2 km1.3 mls) S of Lyon-Bron AirportLYN),France,"(46.227638, 2.213749)",France,,
Blida,Algeria,"(28.033886, 1.659626)",Algeria,,
Blida,Algeria,"(28.033886, 1.659626)",Algeria,,
Nantes-Chateau Bougon Airport,France,"(46.227638, 2.213749)",France,,
"Kuujjuaq Airport, QCYVP)",Canada,"(56.130366, -106.346771)",Canada,,
at an unknown location,Colombia,"(4.570868, -74.297333)",Colombia,,
Blackbushe AirportBBS),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.322737, -0.839339)","Blackbushe Airport, Blackwater, Camberley GU17 9LQ, UK"
12 km7.5 mls) from  Toryska,Slovakia,"(48.669026, 19.699024)",Slovakia,,
"Oreway, QC",Canada,"(56.130366, -106.346771)",Canada,,
-Luqa AirportMLA),Malta,"(35.937496, 14.375416)",Malta,,
"6,5 km4.1 mls) NW of Sunland, Los Angeles, CA",United States of America,"(37.09024, -95.712891)",United States,,
Paris-Orly AirportORY),France,"(46.227638, 2.213749)",France,,
"off Anchorage-Elmendorf AFB, AKEDF)",United States of America,"(37.09024, -95.712891)",United States,,
Ometepe Island,Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
Forres-Kinloss RAF StationFSS),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"45 km28.1 mls) NE of Rome-Griffiss AFB, NYRME)",United States of America,"(37.09024, -95.712891)",United States,,
"Vall de Núria, Pyrénées Mountains",Spain,"(40.46366700000001, -3.74922)",Spain,,
"Grosse Ile NAS, MI",United States of America,"(37.09024, -95.712891)",United States,,
"Tacoma-McChord AFB, WATCM)",United States of America,"(37.09024, -95.712891)",United States,,
"Tacoma-McChord AFB, WATCM)",United States of America,"(37.09024, -95.712891)",United States,,
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina"
"33 km20.6 mls) S of Rankin Inlet, NU",Canada,"(56.130366, -106.346771)",Canada,,
4 km2.5 mls) E of Moskva-Sheremetyevo AirportSVO),Russia,"(61.52401, 105.318756)",Russia,,
Topcliffe RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Qrendi,Malta,"(35.937496, 14.375416)",Malta,,
60 km37.5 mls) from  Igarka,Russia,"(61.52401, 105.318756)",Russia,,
Craigie,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
near Voronezh,Russia,"(61.52401, 105.318756)",Russia,,
Mirny Ice Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
"near Arden, NV",United States of America,"(37.09024, -95.712891)",United States,,
near In Salah AirportINZ),Algeria,"(28.033886, 1.659626)",Algeria,,
S off Barcelona AirportBCN),Spain,"(40.46366700000001, -3.74922)",Spain,,
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"ca 10 km N of Georgetown, DE",United States of America,"(37.09024, -95.712891)",United States,,
Warszawa-Okecie AirportWAW),Poland,"(51.919438, 19.145136)",Poland,,
Pyongtaek,South Korea,"(35.907757, 127.766922)",South Korea,,
"near Son Bonet Airport, Mallorca",Spain,"(40.46366700000001, -3.74922)",Spain,,
"14,5 km9.1 mls) E of Killeen, TX",United States of America,"(37.09024, -95.712891)",United States,,
"Alma, GA",United States of America,"(37.09024, -95.712891)",United States,,
near Boukpayanga,Central African Republic,"(6.611110999999999, 20.939444)",Central African Republic,,
56 km35 mls) W of Silchar,India,"(20.593684, 78.96288)",India,,
"Argentia-NAS, NFNWP)",Canada,"(56.130366, -106.346771)",Canada,,
"1,5 km0.9 mls) SE of Chicago-Midway Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,,
Mahon,Spain,"(40.46366700000001, -3.74922)",Spain,,
near Tobu,India,"(20.593684, 78.96288)",India,,
Charagua,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
"Curralinho, PA",Brazil,"(-14.235004, -51.92528)",Brazil,,
Addis Ababa-Lideta Airport,Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia,,
"2,4 km1.5 mls) from  Managua AirportMGA)",Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
8 km5 mls) NE of Dresden-Klotzsche AirportDRS),Germany,"(51.165691, 10.451526)",Germany,,
Brahmaputra River,India,"(20.593684, 78.96288)",India,,
"3 km1.9 mls) S of Prescott Airport, AZPRC)",United States of America,"(37.09024, -95.712891)",United States,,
Garz,Germany,"(51.165691, 10.451526)",Germany,,
Lourdes-Tarbes Ossun Lourdes AirportLDE),France,"(46.227638, 2.213749)",France,,
Tehran-Mehrabad AirportTHR),Iran,"(32.427908, 53.688046)",Iran,"(35.68998819999999, 51.311241)","Mehrabad International Airport (THR), Tehran, Iran"
"Atlanta Airport, GAATL)",United States of America,"(37.09024, -95.712891)",United States,,
La Paz-El Alto AirportLPB),Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
David AirportDAV),Panama,"(8.537981, -80.782127)",Panama,,
13 km8.1 mls) SE of Paris-Orly AirportORY),France,"(46.227638, 2.213749)",France,,
near El Sosneado,Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
near Tora-Tonga,Sudan,"(12.862807, 30.217636)",Sudan,,
"Enken, Ayano-Maisky District",Russia,"(61.52401, 105.318756)",Russia,,
Aguadilla-Ramey AFBBQN),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,,
15 km9.4 mls) from  Calabozo,Venezuela,"(6.42375, -66.58973)",Venezuela,,
"Belém, PA",Brazil,"(-14.235004, -51.92528)",Brazil,"(-1.4557794, -48.4901968)","Belém - State of Pará, Brazil"
8 km5 mls) SE of Bunia AirportBUX)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA",,
Sverdlovsk-Koltsovo AirportSVX),Russia,"(61.52401, 105.318756)",Russia,,
Southend Municipal AirportSEN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"near Hickory Airport, NCHKY)",United States of America,"(37.09024, -95.712891)",United States,,
Kota Tinggi,Malaysia,"(4.210484, 101.975766)",Malaysia,,
"10 km6.3 mls) from  Stephenville-Harmon AFB, NFYJT)",Canada,"(56.130366, -106.346771)",Canada,,
"10 km6.3 mls) from  Stephenville-Harmon AFB, NFYJT)",Canada,"(56.130366, -106.346771)",Canada,,
"30 km18.8 mls) from  Caravelas, BA",Brazil,"(-14.235004, -51.92528)",Brazil,,
11 km6.9 mls) SE of Marburg,Germany,"(51.165691, 10.451526)",Germany,,
"Lincoln AFB, NELNK)",United States of America,"(37.09024, -95.712891)",United States,,
10 km6.3 mls) NE of Taipei-Sung Shan AirportTSA),Taiwan,"(23.69781, 120.960515)",Taiwan,,
near Chushul,India,"(20.593684, 78.96288)",India,,
"Buenos Aires-Jorge Newbery Airport, BAAEP)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.5580305, -58.4170088)","Aeroparque Internacional Jorge Newbery (AEP), Av. Costanera Rafael Obligado s/n, C1425 CABA, Argentina"
"Winslow, AZ",United States of America,"(37.09024, -95.712891)",United States,,
"near Nanaimo, BC",Canada,"(56.130366, -106.346771)",Canada,,
"near Bogoroditsk, Tula Region",Russia,"(61.52401, 105.318756)",Russia,,
"Oakland International Airport, CAOAK)",United States of America,"(37.09024, -95.712891)",United States,,
"Oakland International Airport, CAOAK)",United States of America,"(37.09024, -95.712891)",United States,,
near Teheran,Iran,"(32.427908, 53.688046)",Iran,,
"250 km156.3 mls) W of Knob Lake, QC",Canada,"(56.130366, -106.346771)",Canada,,
Bizerte,Tunisia,"(33.886917, 9.537499)",Tunisia,,
"Rio de Janeiro, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,,
4 km2.5 mls) WSW of Kano International AirportKAN),Nigeria,"(9.081999, 8.675277)",Nigeria,,
Lago Penuelas,Chile,"(-35.675147, -71.542969)",Chile,,
"off Dover AFB, DE, USA",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"Natal, RN",Brazil,"(-14.235004, -51.92528)",Brazil,,
near Tachikawa Air Base,Japan,"(36.204824, 138.252924)",Japan,,
"Miami, FL",United States of America,"(37.09024, -95.712891)",United States,"(25.7616798, -80.1917902)","Miami, FL, USA"
Algiers,Algeria,"(28.033886, 1.659626)",Algeria,,
"10 km6.3 mls) NNW of Unionville, MO",United States of America,"(37.09024, -95.712891)",United States,,
San Pedro Sula,Honduras,"(15.199999, -86.241905)",Honduras,,
"off Kaimana, West Papua",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Chichester Harbour,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
ca 32 km W of Nairobi-Embakasi AirportNBO),Kenya,"(-0.023559, 37.906193)",Kenya,,
"2 km1.3 mls) N of Talenda, Rajshahi",Bangladesh,"(23.684994, 90.356331)",Bangladesh,,
Paris-Orly AirportORY),France,"(46.227638, 2.213749)",France,,
near Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,,
near Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,,
2 km1.3 mls) SW of Markt Schwaben,Germany,"(51.165691, 10.451526)",Germany,,
Godthåb/Nuuk AirportGOH),Greenland,"(71.706936, -42.604303)",Greenland,,
Godthåb/Nuuk AirportGOH),Greenland,"(71.706936, -42.604303)",Greenland,,
Biak-Boroekoe Royal Dutch Navy Air Station,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
near Magadan,Russia,"(61.52401, 105.318756)",Russia,,
near Mong-Hpayak,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
Pak Tha,Laos,"(19.85627, 102.495496)",Laos,,
Delhi-Palam AirportDEL),India,"(20.593684, 78.96288)",India,,
"near Tulsa Municipal Airport, OKTUL)",United States of America,"(37.09024, -95.712891)",United States,,
Reggio Calabria AirportREG),Italy,"(41.87194, 12.56738)",Italy,,
Mérida-Rejon AirportMID),Mexico,"(23.634501, -102.552784)",Mexico,,
Cerro Illiniza,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
off Iwakuni MCAS,Japan,"(36.204824, 138.252924)",Japan,,
"0,7 km0.4 mls) SW from  Freeland-Tri City Airport, MIMBS)",United States of America,"(37.09024, -95.712891)",United States,,
Quito,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
70 km43.8 mls) from  Xi'an,China,"(35.86166, 104.195397)",China,,
Meesden Green,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
56 km35 mls) from  Havana,Cuba,"(21.521757, -77.781167)",Cuba,,
near Myitkyina,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),,
"Bridgeport, TX",United States of America,"(37.09024, -95.712891)",United States,,
"3 km1.9 mls) NNW of Bridgeport, TX",United States of America,"(37.09024, -95.712891)",United States,,
"5 km3.1 mls) WNW of Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,,
Guriat Airstrip,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,,
"near Sacramento-McClellan AFB, CAMCC)",United States of America,"(37.09024, -95.712891)",United States,,
"near Sacramento-McClellan AFB, CAMCC)",United States of America,"(37.09024, -95.712891)",United States,,
"20 km12.5 mls) SW of Grants, NM",United States of America,"(37.09024, -95.712891)",United States,,
Bacolod AirportBCD),Philippines,"(12.879721, 121.774017)",Philippines,,
"Melbourne, FLMLB)",United States of America,"(37.09024, -95.712891)",United States,,
"Belém, PA",Brazil,"(-14.235004, -51.92528)",Brazil,"(-1.4557794, -48.4901968)","Belém - State of Pará, Brazil"
"Long Beach, CA",United States of America,"(37.09024, -95.712891)",United States,,
ca 5 km off Okinawa-Naha AFBAHA),Japan,"(36.204824, 138.252924)",Japan,,
Manzala Lake,Egypt,"(26.820553, 30.802498)",Egypt,,
"New Haven Airport, CTHVN)",United States of America,"(37.09024, -95.712891)",United States,,
"Hato, Apure",Venezuela,"(6.42375, -66.58973)",Venezuela,,
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
near Mirny Ice Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
"Udoria, ON",Canada,"(56.130366, -106.346771)",Canada,,
"San Francisco International Airport, CASFO)",United States of America,"(37.09024, -95.712891)",United States,"(37.6213129, -122.3789554)","San Francisco International Airport (SFO), San Francisco, CA 94128, USA"
Belen,Chile,"(-35.675147, -71.542969)",Chile,,
"near Kintamani, Bali",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
"Hawkesbury River, Cornwallis, NSW",Australia,"(-25.274398, 133.775136)",Australia,,
"30 km18.8 mls) W of North Even, Magadan Region",Russia,"(61.52401, 105.318756)",Russia,,
"off Ifafa, KwaZulu-Natal",South Africa,"(-30.559482, 22.937506)",South Africa,,
"1,5 km0.9 mls) NE off  New York-La Guardia Airport, NYLGA)",United States of America,"(37.09024, -95.712891)",United States,,
"11 km6.9 mls) SE of Kerrville Airport, TXERV)",United States of America,"(37.09024, -95.712891)",United States,,
Mirny,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
Vitebsk AirportVTB),Russia,"(61.52401, 105.318756)",Russia,,
near Chakala,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,,
Volcán Osorno,Chile,"(-35.675147, -71.542969)",Chile,,
"Willoughby Bay, VA",United States of America,"(37.09024, -95.712891)",United States,,
Kuala Lumpur RAF Station,Malaysia,"(4.210484, 101.975766)",Malaysia,,
"5,2 km3.3 mls) W of London-Gatwick AirportLGW)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"4,5 km2.8 mls) NW of Wadi-es-Sir",Jordan,"(30.585164, 36.238414)",Jordan,,
"Miami, FL",United States of America,"(37.09024, -95.712891)",United States,"(25.7616798, -80.1917902)","Miami, FL, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Pelotas-Federal Airport, RSPET)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Ust-Kara,Russia,"(61.52401, 105.318756)",Russia,,
"2,4 km1.5 mls) from  Siuna",Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
13 km8.1 mls) SW of Kromeriz,Czech Republic,"(49.81749199999999, 15.472962)",Czechia,,
"70  km E off Cape Canaveral, FL, USA",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"3,3 km2.1 mls) SE of Wiesbaden",Germany,"(51.165691, 10.451526)",Germany,,
near Kunsan,South Korea,"(35.907757, 127.766922)",South Korea,,
Brindisi-Papola Casale AirportBDS),Italy,"(41.87194, 12.56738)",Italy,,
"DEW Site 28, NU",Canada,"(56.130366, -106.346771)",Canada,,
"DEW Site 28, NU",Canada,"(56.130366, -106.346771)",Canada,,
near Chimbote,Peru,"(-9.189967, -75.015152)",Peru,,
11 km6.9 mls) NW of Planeta Rica,Colombia,"(4.570868, -74.297333)",Colombia,,
11 km6.9 mls) NW of Planeta Rica,Colombia,"(4.570868, -74.297333)",Colombia,,
"9 km5.6 mls) NE of Cannelton, IN",United States of America,"(37.09024, -95.712891)",United States,,
Nagoya-Komaki International AirportNGO),Japan,"(36.204824, 138.252924)",Japan,,
Madrid-Barajas AirportMAD),Spain,"(40.46366700000001, -3.74922)",Spain,"(40.4839361, -3.5679515)","Madrid-Barajas Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain"
at an unknown location,,,,,
at an unknown location,,,,,
"6,4 km4 mls) W of Paloh",Malaysia,"(4.210484, 101.975766)",Malaysia,,
ca 12 km from Jérez del Marquesad,Spain,"(40.46366700000001, -3.74922)",Spain,,
Monte Argentera,Italy,"(41.87194, 12.56738)",Italy,,
London AirportLHR),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
El Refugio,Colombia,"(4.570868, -74.297333)",Colombia,,
Birmingham AirportBHX),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"2,2 km1.4 mls) SE off  Botricello",Italy,"(41.87194, 12.56738)",Italy,,
