SubLocation,Country,latlon,place,sub_latlon,sub_place
"Winslow, AZ",United States of America,"(37.09024, -95.712891)",United States,"(35.0241873, -110.6973571)","Winslow, AZ 86047, USA"
"near Nanaimo, BC",Canada,"(56.130366, -106.346771)",Canada,"(49.1658836, -123.9400647)","Nanaimo, BC, Canada"
"near Bogoroditsk, Tula Region",Russia,"(61.52401, 105.318756)",Russia,"(53.7709957, 38.1276311)","Bogoroditsk, Tula Oblast, Russia"
"Oakland International Airport, CAOAK)",United States of America,"(37.09024, -95.712891)",United States,"(37.7125689, -122.2197428)","Oakland International Airport (OAK), 1 Airport Dr, Oakland, CA 94621, USA"
"Oakland International Airport, CAOAK)",United States of America,"(37.09024, -95.712891)",United States,"(37.7125689, -122.2197428)","Oakland International Airport (OAK), 1 Airport Dr, Oakland, CA 94621, USA"
near Teheran,Iran,"(32.427908, 53.688046)",Iran,"(35.6891975, 51.3889736)","Tehran, Tehran Province, Iran"
"250 km156.3 mls) W of Knob Lake, QC",Canada,"(56.130366, -106.346771)",Canada,,
Bizerte,Tunisia,"(33.886917, 9.537499)",Tunisia,"(37.2746124, 9.8627243)","Bizerte, Tunisia"
"Rio de Janeiro, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.9068467, -43.1728965)","Rio de Janeiro, State of Rio de Janeiro, Brazil"
4 km2.5 mls) WSW of Kano International AirportKAN),Nigeria,"(9.081999, 8.675277)",Nigeria,,
Lago Penuelas,Chile,"(-35.675147, -71.542969)",Chile,"(-33.162933, -71.46701)","Reserva Nacional Lago Peñuelas, Región de Valparaíso, Chile"
"off Dover AFB, DE, USA",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(39.12773, -75.4684352)","442 13th St, Dover, DE 19902, USA"
"Natal, RN",Brazil,"(-14.235004, -51.92528)",Brazil,"(-5.7792569, -35.200916)","Natal, RN, Brazil"
near Tachikawa Air Base,Japan,"(36.204824, 138.252924)",Japan,"(35.7109011, 139.40232)","Tachikawa Airfield, Midoricho, Tachikawa, Tokyo 190-0014, Japan"
"Miami, FL",United States of America,"(37.09024, -95.712891)",United States,"(25.7616798, -80.1917902)","Miami, FL, USA"
Algiers,Algeria,"(28.033886, 1.659626)",Algeria,"(36.753768, 3.0587561)","Algiers, Sidi M'Hamed, Algeria"
"10 km6.3 mls) NNW of Unionville, MO",United States of America,"(37.09024, -95.712891)",United States,,
San Pedro Sula,Honduras,"(15.199999, -86.241905)",Honduras,"(15.5149204, -87.9922684)","San Pedro Sula, Honduras"
"off Kaimana, West Papua",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Chichester Harbour,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.8069079, -0.8664645999999999)","Chichester Harbour Conservancy, Chichester Harbour AONB, Harbour Office, The St, Itchenor, Chichester PO20 7AW, UK"
ca 32 km W of Nairobi-Embakasi AirportNBO),Kenya,"(-0.023559, 37.906193)",Kenya,,
"2 km1.3 mls) N of Talenda, Rajshahi",Bangladesh,"(23.684994, 90.356331)",Bangladesh,,
Paris-Orly AirportORY),France,"(46.227638, 2.213749)",France,"(48.7262433, 2.3652472)","Orly Airport (ORY), 94390 Orly, France"
near Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt"
near Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,"(30.1188025, 31.4103638)","Cairo International Airport (CAI), Airport Rd, مصر الجديدة، Cairo Governorate 11432, Egypt"
2 km1.3 mls) SW of Markt Schwaben,Germany,"(51.165691, 10.451526)",Germany,,
Godthåb/Nuuk AirportGOH),Greenland,"(71.706936, -42.604303)",Greenland,"(64.1917098, -51.6743553)","Nuuk Airport, Aqisseqarajooq, Nuuk 3905, Greenland"
Godthåb/Nuuk AirportGOH),Greenland,"(71.706936, -42.604303)",Greenland,"(64.1917098, -51.6743553)","Nuuk Airport, Aqisseqarajooq, Nuuk 3905, Greenland"
Biak-Boroekoe Royal Dutch Navy Air Station,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
near Magadan,Russia,"(61.52401, 105.318756)",Russia,"(59.5611525, 150.8301413)","Magadan, Magadan Oblast, Russia"
near Mong-Hpayak,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(20.9847143, 100.0807298)","Mong Hpayak, Myanmar (Burma)"
Pak Tha,Laos,"(19.85627, 102.495496)",Laos,"(20.1045601, 100.5957288)","Pak Tha, Laos"
Delhi-Palam AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"near Tulsa Municipal Airport, OKTUL)",United States of America,"(37.09024, -95.712891)",United States,"(36.1534555, -95.99222259999999)","1 W 3rd St, Tulsa, OK 74103, USA"
Reggio Calabria AirportREG),Italy,"(41.87194, 12.56738)",Italy,"(38.0728782, 15.6491001)","Reggio Calabria Airport (REG), Via Ravagnese, 11, 89131 Reggio Calabria RC, Italy"
Mérida-Rejon AirportMID),Mexico,"(23.634501, -102.552784)",Mexico,"(20.9339004, -89.6623719)","Aeropuerto Internacional de Mérida ""Manuel Crescencio Rejón"" ""MID"", Carretera Mérida a Uman Km 4,5, 97291 Mérida, Yuc., Mexico"
Cerro Illiniza,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.6633333000000001, -78.715)","Illiniza, Ecuador"
off Iwakuni MCAS,Japan,"(36.204824, 138.252924)",Japan,,
"0,7 km0.4 mls) SW from  Freeland-Tri City Airport, MIMBS)",United States of America,"(37.09024, -95.712891)",United States,,
Quito,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.1806532, -78.4678382)","Quito, Ecuador"
70 km43.8 mls) from  Xi'an,China,"(35.86166, 104.195397)",China,,
Meesden Green,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.9982274, 0.0587128)","Morrice Green Cottage, Nuthampstead, Royston SG8 8LR, UK"
56 km35 mls) from  Havana,Cuba,"(21.521757, -77.781167)",Cuba,,
near Myitkyina,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(25.3946143, 97.38407289999999)","Myitkyina, Myanmar (Burma)"
"Bridgeport, TX",United States of America,"(37.09024, -95.712891)",United States,"(33.2101155, -97.75475519999999)","Bridgeport, TX 76426, USA"
"3 km1.9 mls) NNW of Bridgeport, TX",United States of America,"(37.09024, -95.712891)",United States,,
"5 km3.1 mls) WNW of Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,,
Guriat Airstrip,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,"(31.4099662, 37.2751983)","Gurayat Airport (URY), Al Qurayyat 77623, Saudi Arabia"
"near Sacramento-McClellan AFB, CAMCC)",United States of America,"(37.09024, -95.712891)",United States,,
"near Sacramento-McClellan AFB, CAMCC)",United States of America,"(37.09024, -95.712891)",United States,,
"20 km12.5 mls) SW of Grants, NM",United States of America,"(37.09024, -95.712891)",United States,,
Bacolod AirportBCD),Philippines,"(12.879721, 121.774017)",Philippines,"(10.7776219, 123.0187484)","Bacolod - Silay International Airport (BCD) (BCD), Airport Road, Silay City, 6116 Negros Occidental, Philippines"
"Melbourne, FLMLB)",United States of America,"(37.09024, -95.712891)",United States,"(28.0977567, -80.6312746)","Orlando Melbourne International Airport (MLB), 1 Air Terminal Pkwy, Melbourne, FL 32901, USA"
"Belém, PA",Brazil,"(-14.235004, -51.92528)",Brazil,"(-1.4557794, -48.4901968)","Belém - State of Pará, Brazil"
"Long Beach, CA",United States of America,"(37.09024, -95.712891)",United States,"(33.7700504, -118.1937395)","Long Beach, CA, USA"
ca 5 km off Okinawa-Naha AFBAHA),Japan,"(36.204824, 138.252924)",Japan,,
Manzala Lake,Egypt,"(26.820553, 30.802498)",Egypt,"(31.3306218, 32.0496521)","Al Manzalah Lake, Egypt"
"New Haven Airport, CTHVN)",United States of America,"(37.09024, -95.712891)",United States,"(41.2678919, -72.8868727)","Tweed New Haven Airport (HVN), 155 Burr St, New Haven, CT 06512, USA"
"Hato, Apure",Venezuela,"(6.42375, -66.58973)",Venezuela,"(7.429981300000001, -69.32278629999999)","Apure, Venezuela"
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
near Mirny Ice Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
"Udoria, ON",Canada,"(56.130366, -106.346771)",Canada,"(63.4951205, 48.64206249999999)","Udorsky District, Komi Republic, Russia"
"San Francisco International Airport, CASFO)",United States of America,"(37.09024, -95.712891)",United States,"(37.6213129, -122.3789554)","San Francisco International Airport (SFO), San Francisco, CA 94128, USA"
Belen,Chile,"(-35.675147, -71.542969)",Chile,"(34.6627652, -106.7761546)","Belen, NM 87002, USA"
"near Kintamani, Bali",Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-8.2573896, 115.3548713)","Kintamani, Bangli Regency, Bali, Indonesia"
"Hawkesbury River, Cornwallis, NSW",Australia,"(-25.274398, 133.775136)",Australia,"(-33.592, 150.812)","Cornwallis NSW 2756, Australia"
"30 km18.8 mls) W of North Even, Magadan Region",Russia,"(61.52401, 105.318756)",Russia,,
"off Ifafa, KwaZulu-Natal",South Africa,"(-30.559482, 22.937506)",South Africa,,
"1,5 km0.9 mls) NE off  New York-La Guardia Airport, NYLGA)",United States of America,"(37.09024, -95.712891)",United States,,
"11 km6.9 mls) SE of Kerrville Airport, TXERV)",United States of America,"(37.09024, -95.712891)",United States,,
Mirny,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(62.5313374, 113.9773881)","Mirny, Sakha Republic, Russia, 678171"
Vitebsk AirportVTB),Russia,"(61.52401, 105.318756)",Russia,"(55.12805729999999, 30.3544596)","Vitebsk Airport (VTB), Віцебск 210035, Belarus"
near Chakala,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(19.1157467, 72.8611518)","Chakala, Hanuman Nagar, Andheri East, Mumbai, Maharashtra 400053, India"
Volcán Osorno,Chile,"(-35.675147, -71.542969)",Chile,"(-41.1041666, -72.4958333)","Osorno, Puerto Varas, Los Lagos Region, Chile"
"Willoughby Bay, VA",United States of America,"(37.09024, -95.712891)",United States,"(36.9533206, -76.2667616)","8180 O'Conner Cres, Norfolk, VA 23503, USA"
Kuala Lumpur RAF Station,Malaysia,"(4.210484, 101.975766)",Malaysia,"(19.0158992, 72.8519172)","B/6, Manoj Industrial Premises Ltd, 40/A G.D. Ambekar Road, Wadala (W), Central Railway Colony, Dadar East, Mumbai, Maharashtra 400031, India"
"5,2 km3.3 mls) W of London-Gatwick AirportLGW)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"4,5 km2.8 mls) NW of Wadi-es-Sir",Jordan,"(30.585164, 36.238414)",Jordan,,
"Miami, FL",United States of America,"(37.09024, -95.712891)",United States,"(25.7616798, -80.1917902)","Miami, FL, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Pelotas-Federal Airport, RSPET)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Ust-Kara,Russia,"(61.52401, 105.318756)",Russia,"(69.235497, 64.94936400000002)","Oust-Kara, Nenets Autonomous Okrug, Russia, 166750"
"2,4 km1.5 mls) from  Siuna",Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
13 km8.1 mls) SW of Kromeriz,Czech Republic,"(49.81749199999999, 15.472962)",Czechia,,
"70  km E off Cape Canaveral, FL, USA",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"3,3 km2.1 mls) SE of Wiesbaden",Germany,"(51.165691, 10.451526)",Germany,,
near Kunsan,South Korea,"(35.907757, 127.766922)",South Korea,"(35.9676772, 126.7366293)","Gunsan-si, Jeollabuk-do, South Korea"
Brindisi-Papola Casale AirportBDS),Italy,"(41.87194, 12.56738)",Italy,"(40.6567625, 17.9453492)","Salento Airport, Contrada Baroncino, 72100 Brindisi BR, Italy"
"DEW Site 28, NU",Canada,"(56.130366, -106.346771)",Canada,,
"DEW Site 28, NU",Canada,"(56.130366, -106.346771)",Canada,,
near Chimbote,Peru,"(-9.189967, -75.015152)",Peru,"(-9.063336399999999, -78.589011)","Chimbote, Peru"
11 km6.9 mls) NW of Planeta Rica,Colombia,"(4.570868, -74.297333)",Colombia,,
11 km6.9 mls) NW of Planeta Rica,Colombia,"(4.570868, -74.297333)",Colombia,,
"9 km5.6 mls) NE of Cannelton, IN",United States of America,"(37.09024, -95.712891)",United States,,
Nagoya-Komaki International AirportNGO),Japan,"(36.204824, 138.252924)",Japan,"(34.8590935, 136.8146005)","Chubu Centrair International Airport (NGO), 1 Chome-１ Centrair, Tokoname, Aichi Prefecture 479-0881, Japan"
Madrid-Barajas AirportMAD),Spain,"(40.46366700000001, -3.74922)",Spain,"(40.4839361, -3.5679515)","Madrid-Barajas Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain"
at an unknown location,,,,,
at an unknown location,,,,,
"6,4 km4 mls) W of Paloh",Malaysia,"(4.210484, 101.975766)",Malaysia,,
ca 12 km from Jérez del Marquesad,Spain,"(40.46366700000001, -3.74922)",Spain,"(36.6844376, -6.0752005)","11593 Estella del Marqués, Cádiz, Spain"
Monte Argentera,Italy,"(41.87194, 12.56738)",Italy,"(44.177778, 7.305555999999999)","Monte Argentera, 12010 Entracque, Province of Cuneo, Italy"
London AirportLHR),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.4700223, -0.4542955)","Heathrow Airport (LHR), Longford TW6, UK"
El Refugio,Colombia,"(4.570868, -74.297333)",Colombia,"(26.340345, -98.755859)","El Refugio, TX 78582, USA"
Birmingham AirportBHX),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.45238209999999, -1.7435071)","Birmingham Airport (BHX), Birmingham B26 3QJ, UK"
"2,2 km1.4 mls) SE off  Botricello",Italy,"(41.87194, 12.56738)",Italy,,
at an unknown location,,,,,
"6,5 km4.1 mls) SE of Amatice",Italy,"(41.87194, 12.56738)",Italy,,
Woolsington AirportNCL),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.03771520000001, -1.7022861)","Newcastle International Airport (NCL), Woolsington, Newcastle upon Tyne NE13 8BZ, UK"
London AirportLHR),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.4700223, -0.4542955)","Heathrow Airport (LHR), Longford TW6, UK"
3 km1.9 mls) off  Gan RAF StationGAN),Maldives,"(1.9772276, 73.536101)",Maldives,,
"1,5 km0.9 mls) W of Douala AirportDLA)",Cameroon,"(7.369721999999999, 12.354722)",Cameroon,,
4 km2.5 mls) SE of Cairo International AirportCAI),Egypt,"(26.820553, 30.802498)",Egypt,,
Osaka-Itami AirportITM),Japan,"(36.204824, 138.252924)",Japan,"(34.7895799, 135.4380895)","Osaka International Airport (ITM), 3 Chome-５５５ Hotarugaike Nishimachi, Toyonaka, Osaka Prefecture 560-0036, Japan"
over ,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(52.312938, 0.016875)","Over, UK"
"2,4 km1.5 mls) S of -Seletar RAF Station",Singapore,"(1.352083, 103.819836)",Singapore,,
Ramstein AFB,Germany,"(51.165691, 10.451526)",Germany,"(49.4400412, 7.597129000000001)","Ramstein Air Base (RMS), 66877 Ramstein-Miesenbach, Germany"
"S of Tacoma-McChord AFB, WATCM)",United States of America,"(37.09024, -95.712891)",United States,"(47.177138, -122.464459)","8726 S Hosmer St, Tacoma, WA 98444, USA"
"Bulwer Island, QLD",Australia,"(-25.274398, 133.775136)",Australia,"(-27.41756, 153.1295793)","Bulwer Island, Brisbane QLD 4008, Australia"
Azaiba Airfield,Oman,"(21.4735329, 55.975413)",Oman,,
Saigon-Tan-Son-Nhat AirportSGN),Vietnam,"(14.058324, 108.277199)",Vietnam,"(10.8184631, 106.6588245)","Tan Son Nhat International Airport, Tân Bình, Hồ Chí Minh, Vietnam"
Gan/Seenu AirportGAN),Maldives,"(1.9772276, 73.536101)",Maldives,"(-0.693184, 73.155678)","Gan International Airport (GAN), Gan,Addu City 19070, Maldives"
"off St. Augustine Beach, FL",United States of America,"(37.09024, -95.712891)",United States,"(29.8509811, -81.2674128)","531 A1A Beach Blvd, St Augustine, FL 32080, USA"
near Wiesbaden Air BaseWIE),Germany,"(51.165691, 10.451526)",Germany,"(50.04065259999999, 8.3271111)","65205 Wiesbaden, Germany"
Cerro Arenal,Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,"(10.501139, -84.709017)","8 km al Oeste de la Iglesia Católica de la Fortuna, San Carlos, Provincia de Alajuela, La Fortuna, San Carlos, 21007, Costa Rica"
"Fort Worth-Carswell AFB, TXFWH)",United States of America,"(37.09024, -95.712891)",United States,"(32.7688907, -97.43622049999999)","1510 Chennault Ave, Fort Worth, TX 76113, USA"
"off Tachikawa AB, Japan",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(35.7109011, 139.40232)","Tachikawa Airfield, Midoricho, Tachikawa, Tokyo 190-0014, Japan"
3 km1.9 mls) ENE off  Fonte da Telha,Portugal,"(39.39987199999999, -8.224454)",Portugal,,
100 km62.5 mls) N of Edjele,Algeria,"(28.033886, 1.659626)",Algeria,,
at an unknown location,India,"(20.593684, 78.96288)",India,,
near Al Qamishli AirportKAC),Syria,"(34.80207499999999, 38.996815)",Syria,"(37.0312058, 41.2051295)","Al Qamishli International Airport, 7, Qamishli, Syria"
at an unknown location,Cuba,"(21.521757, -77.781167)",Cuba,,
Rhimkhim,India,"(20.593684, 78.96288)",India,,
near Bangui AirportBGF),Central African Republic,"(6.611110999999999, 20.939444)",Central African Republic,"(4.396111, 18.520279)","Bangui M'Poko International Airport (BGF), Avenue de France, Bangui, Central African Republic"
Tokyo-Haneda AirportHND),Japan,"(36.204824, 138.252924)",Japan,"(35.5493932, 139.7798386)","Haneda Airport (HND), Hanedakuko, Ota, Tokyo 144-0041, Japan"
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
"near Mustang, OK",United States of America,"(37.09024, -95.712891)",United States,"(35.384226, -97.7244867)","Mustang, OK 73064, USA"
Mount Parker,Hong Kong,"(22.396428, 114.109497)",Hong Kong,"(22.2666667, 114.2166667)","Mount Parker, Tai Tam, Hong Kong"
at an unknown location,Cuba,"(21.521757, -77.781167)",Cuba,,
Santiago AirportSCU),Cuba,"(21.521757, -77.781167)",Cuba,"(19.97, -75.835556)","Antonio Maceo Airport (SCU), Avenida al Aeropuerto Internacional Antonio Maceo Grajales, Santiago de Cuba, Cuba"
Avord Air Base,France,"(46.227638, 2.213749)",France,"(47.0439382, 2.6380845)","2 Avenue de Bourges, 18520 Avord, France"
"1,8 km1.1 mls) NE of Vitoria-Goiabeiras Airport, ESVIX)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Limestone-Loring AFB, MELIZ)",United States of America,"(37.09024, -95.712891)",United States,,
"Limestone-Loring AFB, MELIZ)",United States of America,"(37.09024, -95.712891)",United States,,
5 km3.1 mls) N of Vallenar,Chile,"(-35.675147, -71.542969)",Chile,,
near Haveri,India,"(20.593684, 78.96288)",India,"(14.7959027, 75.3971254)","Haveri, Karnataka 581110, India"
St. Boniface Down,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.6038333, -1.1996388)","St Boniface Down, Wroxall, Ventnor PO38, UK"
Calcutta-Dum Dum AirportCCU),India,"(20.593684, 78.96288)",India,"(22.6520429, 88.4463299)","Netaji Subhash Chandra Bose International Airport (CCU), Jessore Rd, Dum Dum, Kolkata, West Bengal 700052, India"
nr Daru,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(49.69860389999999, 21.7759112)","Prochownia 7, 38-400 Krosno, Poland"
Canton Island AirportCIS),Kiribati,"(1.8709422, -157.3628595)",Kiribati,"(-2.8039843, -171.6432353)","Kanton Island, Kiribati"
"Mendoza-El Plumerillo Airport, MDMDZ)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-32.8278642, -68.7984902)","Governor Francisco Gabrielli International Airport, RN40 Km. 15; J5539,, Acceso Norte RN40 Km. 15, J5539 Las Heras, Mendoza, Argentina"
50 km31.3 mls) from  Bahía Solano,Colombia,"(4.570868, -74.297333)",Colombia,,
Algiers-Maison Blanche AirportALG),Algeria,"(28.033886, 1.659626)",Algeria,"(36.6981425, 3.2067834)","Algiers International Airport Houari Boumediene, Dar El Beida, Algiers, Algeria"
Hipp Khanh,Vietnam,"(14.058324, 108.277199)",Vietnam,"(38.4729049, 106.2744481)","Jinning N St, Xingqing Qu, Yinchuan Shi, Ningxia Huizuzizhiqu, China, 750001"
